bs,seq,nh,nkv,hd,t_measured_ms
1,8192,4,8,128,-1.0
1,8192,8,1,128,0.8604242466390133
1,8192,8,8,64,0.5082092247903347
1,8192,16,1,128,1.6943509690463543
1,8192,16,8,64,1.031619030982256
1,8192,32,1,128,3.5937847569584846
1,8192,32,8,64,1.998311374336481
1,8192,64,1,128,7.378957234323025
1,8192,64,8,64,4.035213030874729
1,8192,128,1,128,14.472289942204952
1,8192,128,8,64,8.003770839422941
1,8397,4,8,64,-1.0
1,8397,4,8,128,-1.0
1,8397,8,1,64,0.5799522623419762
1,8397,8,2,128,0.8913660421967506
1,8397,8,8,128,0.8803908713161945
1,8397,16,2,64,1.0872012935578823
1,8397,16,4,64,1.0499539785087109
1,8397,16,8,64,1.0649622417986393
1,8397,32,1,64,2.078467980027199
1,8397,32,4,64,2.127010840922594
1,8397,32,8,128,3.755507990717888
1,8397,64,2,128,7.724035065621138
1,8397,128,1,64,8.531083818525076
1,8397,128,4,64,8.542058989405632
1,8397,128,8,64,8.495916612446308
1,10446,4,2,64,0.551633071154356
1,10446,4,4,64,0.5201450549066067
1,10446,4,8,128,-1.0
1,10446,8,1,128,1.3730484060943127
1,10446,8,4,64,0.8570961654186249
1,10446,8,8,128,1.4346148818731308
1,10446,16,2,64,1.637680921703577
1,10446,16,4,128,2.841613721102476
1,10446,32,2,64,3.2963212579488754
1,10446,32,4,128,5.913878791034222
1,10446,64,2,64,6.561188958585262
1,10446,64,4,128,11.90702011808753
1,10446,128,2,64,13.10864882543683
1,10446,128,4,128,23.677243385463953
1,14267,4,4,128,1.5921150334179401
1,14267,8,2,64,1.5811068005859852
1,14267,8,4,64,1.561522949486971
1,14267,8,8,64,1.5351241454482079
1,14267,16,1,128,5.497507285326719
1,14267,16,8,64,3.119463101029396
1,14267,32,1,64,6.263820920139551
1,14267,32,4,64,6.242989096790552
1,14267,32,8,128,11.248254682868719
1,14267,64,2,128,22.171046119183302
1,14267,128,1,64,24.367110803723335
1,14267,128,4,64,24.366342928260565
1,14267,128,8,64,24.336200673133135
1,16384,4,8,64,-1.0
1,16384,4,8,128,-1.0
1,16384,8,1,64,1.9006500951945782
1,16384,8,2,128,3.6019450053572655
1,16384,8,8,64,2.0015742629766464
1,16384,16,1,64,4.011758137494326
1,16384,16,2,128,7.345645222812891
1,16384,16,8,128,7.285614963620901
1,16384,32,2,128,14.766232576221228
1,16384,64,1,64,15.911799855530262
1,16384,64,4,64,15.923991799354553
1,16384,64,8,64,16.022197902202606
1,16384,128,1,128,57.127709966152906
1,16384,128,8,64,31.874224077910185
1,18064,8,1,128,4.522750154137611
1,18064,8,4,64,2.5726952590048313
1,18064,8,8,128,4.4607678428292274
1,18064,16,2,64,5.062192212790251
1,18064,16,4,64,5.106254015117884
1,18064,16,8,64,5.071599036455154
1,18064,32,1,128,17.87951961159706
1,18064,32,8,64,9.938884060829878
1,18064,64,1,128,35.261424258351326
1,18064,64,8,128,35.33918084576726
1,18064,128,2,128,70.41155407205224
1,18671,2,1,64,0.9534116834402084
1,18671,2,1,128,1.4788382686674595
1,18671,2,2,64,0.8684550411999226
1,18671,2,2,128,1.4310628175735474
1,18671,2,4,64,-1.0
1,18671,2,4,128,-1.0
1,18671,2,8,64,-1.0
1,18671,2,8,128,-1.0
1,18671,4,1,64,1.3957368209958076
1,18671,4,1,128,2.4914490059018135
1,18671,4,2,64,1.491029281169176
1,18671,4,2,128,2.5685029104351997
1,18671,4,4,64,1.4843097887933254
1,18671,4,4,128,2.5353841483592987
1,18671,4,8,64,-1.0
1,18671,4,8,128,-1.0
1,18671,8,1,64,2.564630936831236
1,18671,8,1,128,4.6968902461230755
1,18671,8,4,128,4.692121874541044
1,18671,16,1,128,9.445521049201488
1,18671,16,4,128,9.489808231592178
1,18671,32,1,128,18.943139351904392
1,18671,32,8,64,10.533715132623911
1,18671,64,1,128,37.57566073909402
1,18671,64,8,64,20.892297849059105
1,18671,128,1,128,74.51252499595284
1,18671,128,8,128,73.72291525825858
1,20042,32,1,64,12.171877082437277
1,20042,32,4,64,12.204257771372795
1,20042,32,8,128,22.00829889625311
1,20042,64,2,128,43.36304822936654
1,20042,128,1,64,47.92899778112769
1,20042,128,4,64,47.97677230089903
1,20042,128,8,64,47.73316206410527
1,20397,8,2,64,3.1829490326344967
1,20397,8,4,64,3.1802929006516933
1,20397,8,8,64,3.1726770102977753
1,20397,16,1,64,6.372010335326195
1,20397,16,2,128,11.5599250420928
1,20397,16,8,128,11.530677787959576
1,20397,32,2,128,22.577882278710604
1,20397,64,1,64,24.947894737124443
1,20397,64,4,64,24.97298177331686
1,20397,64,8,64,24.968278128653765
1,20397,128,1,128,88.65935308858752
1,20397,128,8,128,88.01697101444006
1,27472,16,4,64,11.525014881044626
1,27472,16,8,128,20.73300676420331
1,27472,32,2,128,40.63416598364711
1,27472,64,1,64,44.52602192759514
1,27472,64,4,64,44.81923021376133
1,27472,64,8,64,44.66269025579095
1,27472,128,1,128,158.52269902825356
1,27472,128,8,128,157.79068786650896
1,28451,32,2,64,24.374759290367365
1,28451,32,4,128,43.792062904685736
1,28451,64,2,64,48.19264495745301
1,28451,64,4,128,86.88203291967511
1,28451,128,2,64,95.93793284147978
1,28451,128,4,128,170.53066892549396
1,32768,8,4,64,8.056511171162128
1,32768,8,8,64,8.02227295935154
1,32768,16,1,128,29.565543867647648
1,32768,16,4,128,29.521257150918245
1,32768,32,2,64,32.03849820420146
1,32768,32,4,128,57.91694484651089
1,32768,64,2,64,63.87220323085785
1,32768,64,4,128,115.01016980037093
1,32768,128,2,64,125.784813426435
1,32768,128,4,128,225.530416239053
1,33745,8,4,64,8.46344418823719
1,33745,8,8,128,15.359796117991209
1,33745,16,2,64,17.057732213288546
1,33745,16,4,64,17.06003677099943
1,33745,16,8,64,17.03334879130125
1,33745,32,1,64,34.02471588924527
1,33745,32,4,64,34.01719592511654
1,33745,32,8,128,61.32875429466367
1,33745,64,2,128,120.99902704358101
1,33745,128,1,64,133.9486502110958
1,33745,128,4,64,133.98340018466115
1,33745,128,8,128,235.08054902777076
1,33810,32,2,64,34.29094795137644
1,33810,32,4,128,61.713382601737976
1,33810,64,2,64,68.04335117340088
1,33810,64,4,128,120.63958030194044
1,33810,128,2,64,134.40268533304334
1,33810,128,4,128,239.1404677182436
1,35617,8,4,128,17.246175557374954
1,35617,16,1,128,34.55030079931021
1,35617,16,4,128,34.51091004535556
1,35617,32,2,64,38.01218792796135
1,35617,32,4,128,67.90344836190343
1,35617,64,2,64,75.33578388392925
1,35617,64,4,128,133.7895756587386
1,35617,128,2,64,149.08978808671236
1,35617,128,4,128,262.62005791068077
1,35839,8,4,64,9.574069175869226
1,35839,8,8,64,9.57653159275651
1,35839,16,1,128,34.4095672480762
1,35839,16,4,64,19.064554944634438
1,35839,16,8,128,34.65135209262371
1,35839,32,2,128,68.18392034620047
1,35839,64,1,64,75.64441580325365
1,35839,64,4,64,75.52118692547083
1,35839,64,8,64,75.40551014244556
1,35839,128,1,128,265.6081337481737
1,35839,128,8,64,149.96694773435593
1,39933,8,2,64,11.938897892832756
1,39933,8,2,128,21.67949080467224
1,39933,8,8,128,21.459112875163555
1,39933,16,2,64,23.645388428121805
1,39933,16,4,64,23.78090424463153
1,39933,16,8,64,23.918339982628822
1,39933,32,1,128,84.13589000701904
1,39933,32,8,64,47.40130016580224
1,39933,64,1,128,167.3815967515111
1,39933,64,8,128,167.7971058525145
1,39933,128,2,128,329.9566092900932
1,40392,2,1,64,3.130024764686823
1,40392,2,1,128,5.785534158349037
1,40392,2,2,64,3.1611910089850426
1,40392,2,2,128,5.602818913757801
1,40392,2,4,64,-1.0
1,40392,2,4,128,-1.0
1,40392,2,8,64,-1.0
1,40392,2,8,128,-1.0
1,40392,4,1,64,6.293488200753927
1,40392,4,1,128,11.338307056576014
1,40392,4,2,64,6.254544947296381
1,40392,4,2,128,11.344836093485355
1,40392,4,4,64,6.328046787530184
1,40392,4,4,128,11.259397957473993
1,40392,4,8,64,-1.0
1,40392,4,8,128,-1.0
1,40392,8,1,64,12.578368186950684
1,40392,8,1,128,22.635879926383495
1,40392,8,2,128,22.671719081699848
1,40392,8,8,128,22.625639103353024
1,40392,16,2,64,24.632432963699102
1,40392,16,4,64,24.64846521615982
1,40392,16,8,64,24.62142612785101
1,40392,32,1,64,48.21968078613281
