M,N,K,t_measured_ms
2,30909,512,0.03388756886124611
2,30909,1024,0.06623822264373302
2,30909,1907,0.09827013127505779
2,30909,2509,0.12124492786824703
2,30909,3213,0.14682859182357788
2,30909,4738,0.20396290346980095
2,30909,6201,0.26000989601016045
2,30909,6937,0.28981640934944153
2,30909,8192,0.33408752642571926
2,30909,8968,0.3676388878375292
2,30909,9495,0.3864539321511984
2,30909,10776,0.4378936719149351
2,30909,11128,0.4480211064219475
2,30909,13014,0.5201471503823996
2,30909,13856,0.5497620441019535
2,30909,16048,0.6362560670822859
2,31902,779,0.053006457164883614
2,31902,1144,0.06881449371576309
2,31902,2048,0.1003490760922432
2,31902,2510,0.12030103243887424
2,31902,4096,0.17753196880221367
2,31902,5338,0.2260417677462101
2,31902,6517,0.2722169738262892
2,31902,7234,0.19868300296366215
2,31902,8479,0.34947902895510197
2,31902,8977,0.3700710367411375
2,31902,10509,0.42727007530629635
2,31902,11015,0.4450134001672268
2,31902,13014,0.3602476790547371
2,31902,13681,0.5524186417460442
2,31902,16048,0.43589365668594837
2,32768,256,0.03585498780012131
2,32768,779,0.05388655699789524
2,32768,1024,0.05043088458478451
2,32768,2048,0.0689264852553606
2,32768,2510,0.12566056102514267
2,32768,4096,0.10250997729599476
2,32768,4738,0.2065710723400116
2,32768,6517,0.2745208330452442
2,32768,7234,0.20183506421744823
2,32768,8479,0.3507588990032673
2,32768,8977,0.36973506212234497
2,32768,10404,0.2554175443947315
2,32768,10864,0.21465076133608818
2,32768,11354,0.27260161004960537
2,32768,13249,0.5324829835444689
2,32768,14925,0.5972012877464294
2,32768,16384,0.3097839653491974
2,34372,1144,0.0694706104695797
2,34372,1907,0.09946967475116253
2,34372,2509,0.1229732297360897
2,34372,4096,0.18380372785031796
2,34372,5338,0.25698565877974033
2,34372,6517,0.28020073659718037
2,34372,7234,0.3396389074623585
2,34372,8766,0.3998784814029932
2,34372,9075,0.37757446989417076
2,34372,10509,0.4344531334936619
2,34372,10968,0.49549154937267303
2,34372,12102,0.5423061084002256
2,34372,13315,0.5451701581478119
2,34372,15086,0.6711035966873169
2,34372,16384,0.7210227195173502
2,34660,1743,0.09348499588668346
2,34660,2287,0.11622090823948383
2,34660,2826,0.13425247743725777
2,34660,4507,0.19970722496509552
2,34660,5756,0.27498509734869003
2,34660,6918,0.32315985299646854
2,34660,8149,0.34467922523617744
2,34660,8795,0.36744680255651474
2,34660,9110,0.42000599205493927
2,34660,10566,0.48035592772066593
2,34660,11015,0.45648496598005295
2,34660,12379,0.5067228339612484
2,34660,13681,0.5582105368375778
2,34660,15919,0.6455685943365097
2,34850,256,0.02851104363799095
2,34850,361,0.03241538070142269
2,34850,512,0.03412761725485325
2,34850,1024,0.06588664837181568
2,34850,1907,0.0995818991214037
2,34850,2509,0.12279697693884373
2,34850,3213,0.15247659757733345
2,34850,4738,0.2327621914446354
2,34850,6201,0.26586558669805527
2,34850,6937,0.29640807770192623
2,34850,8192,0.3731907345354557
2,34850,8968,0.41190977208316326
2,34850,10404,0.4726287443190813
2,34850,10968,0.4968836437910795
2,34850,12102,0.5502100102603436
2,34850,13315,0.5474418867379427
2,34850,15086,0.6697436328977346
2,34850,16384,0.7210699841380119
2,35906,1907,0.09950203821063042
2,35906,2642,0.12762914411723614
2,35906,4133,0.18801121041178703
2,35906,5647,0.2504901494830847
2,35906,6693,0.2921207342296839
2,35906,7269,0.3128561656922102
2,35906,8766,0.40319026447832584
2,35906,9075,0.3853829111903906
2,35906,10509,0.4422131460160017
2,35906,10968,0.45970105566084385
2,35906,12102,0.5029155872762203
2,35906,13315,0.5495860241353512
2,35906,15086,0.6195369642227888
2,35906,16384,0.7198380772024393
2,36285,1144,0.07122987881302834
2,36285,2048,0.1063335221260786
2,36285,2510,0.12463703751564026
2,36285,4096,0.18570758402347565
2,36285,5338,0.23791403509676456
2,36285,6517,0.2824410330504179
2,36285,7234,0.3106000367552042
2,36285,8479,0.36087073385715485
2,36285,8977,0.3781027626246214
2,36285,10404,0.4361656028777361
2,36285,10864,0.4556691274046898
2,36285,11354,0.47392467968165874
2,36285,13249,0.5487699527293444
2,36285,14925,0.6139050237834454
2,36285,16135,0.66152005456388
2,36850,1205,0.07246201857924461
2,36850,2048,0.10391767136752605
2,36850,2510,0.12313318438827991
2,36850,4096,0.1866193488240242
2,36850,5338,0.25760941207408905
2,36850,6517,0.2833530306816101
2,36850,7234,0.33683935180306435
2,36850,8479,0.361159211024642
2,36850,8977,0.38160686381161213
2,36850,10404,0.4749479703605175
2,36850,10864,0.49126800149679184
2,36850,11354,0.5135394167155027
2,36850,13249,0.5520186387002468
2,36850,14925,0.6166249513626099
2,36850,16135,0.6664793472737074
2,36986,1144,0.06983848288655281
2,36986,1907,0.1012939028441906
2,36986,2509,0.12730923481285572
2,36986,2826,0.134988222271204
2,36986,4507,0.20226719789206982
2,36986,5756,0.2756251487880945
2,36986,6918,0.32698409631848335
2,36986,8192,0.3764708526432514
2,36986,8968,0.4144059494137764
2,36986,9495,0.4042619839310646
2,36986,10776,0.49057998694479465
