seq,dim,t_measured_ms
42251,1932,0.8293213322758675
42251,2149,0.9174160659313202
42251,2245,0.9572217240929604
42251,2363,1.002245582640171
42251,2421,1.0252203792333603
42251,2820,1.1895997449755669
42251,3098,1.3013100251555445
42251,3630,1.5165982767939568
42251,3791,1.5836060047149658
42251,4266,1.7758887261152267
42251,4412,1.8395353108644483
42251,4561,1.9018063321709635
42251,5195,2.1629827097058296
42251,5405,2.245795913040638
42251,5604,2.3220181465148926
42251,6034,2.507038414478302
42251,6357,2.6353541761636734
42251,6647,2.7573024854063988
42251,6775,2.8085988014936447
42251,6879,2.847411669790745
42251,7080,2.9209470376372337
42251,7320,3.029615618288517
42251,7601,3.1454842537641525
42251,7780,3.220873884856701
42251,8144,3.360006958246231
42251,8332,3.491746261715889
42251,8504,3.569122403860092
42251,8694,3.6448314785957336
42251,8954,3.7494683638215065
42251,9106,3.810619004070759
42251,9234,3.855384886264801
42251,9715,4.031221382319927
42251,9966,4.138033837080002
42251,10314,4.273037426173687
42251,10874,4.528583027422428
42251,11023,4.597893916070461
42251,11351,4.7200992703437805
42251,11507,4.780865274369717
42251,11822,4.901438020169735
42251,12300,5.048345774412155
42251,12553,5.187605507671833
42251,12895,5.445678718388081
42251,13002,5.509582348167896
42251,13476,5.663721822202206
42251,13804,5.78045379370451
42251,14028,5.864324048161507
42251,14210,5.984865128993988
42251,14530,6.143901497125626
42251,14676,6.194652058184147
42251,14932,6.2257228419184685
42251,15130,6.4247893169522285
42251,15246,6.420917809009552
42251,15594,6.563057191669941
42251,15854,6.730189546942711
42251,15984,6.680558435618877
42251,16193,6.746347993612289
42375,128,0.0894702970981597
42375,133,0.0903652980923652
42375,165,0.1075491309165954
42375,256,0.1453394070267677
42375,293,0.1674825325608253
42375,435,0.226970762014389
42375,452,0.2299454063177108
42375,502,0.2525048330426216
42375,512,0.2530813217163086
42375,562,0.2785837277770042
42375,702,0.3342945128679275
42375,745,0.3491751849651336
42375,819,0.3808224573731422
42375,918,0.4216209053993225
42375,1406,0.6207199767231941
42375,1469,0.6489753723144531
42375,1585,0.6945738568902016
42375,1798,0.7797880098223686
42375,1998,0.8612247183918953
42375,2174,0.930408015847206
42375,2304,0.9805820882320404
42375,2388,1.0180212557315826
42375,2605,1.1080019176006315
42375,3064,1.28924660384655
42375,3235,1.366076059639454
42375,3758,1.5793181955814362
42375,4052,1.6966592520475388
42375,4347,1.8224157392978668
42375,4482,1.8812306225299835
42375,4780,1.9992105662822723
42375,5310,2.2147251293063164
42375,5453,2.2748522460460663
42375,5894,2.4523185566067696
42375,6236,2.5931792333722115
42375,6519,2.7137845754623413
42375,6747,2.806836739182472
42375,6817,2.834645099937916
42375,7026,2.921363338828087
42375,7288,3.030862659215927
42375,7557,3.1376760452985764
42375,7737,3.20833083242178
42375,8009,3.309352323412895
42375,8192,3.3874623477458954
42375,8415,3.5600969567894936
42375,8617,3.640095703303814
42375,8899,3.741852007806301
42375,9059,3.809531219303608
42375,9211,3.8850167766213417
42375,9455,3.9625195786356926
42375,9782,4.084531217813492
42375,10035,4.19195368885994
42375,10649,4.450473934412003
42375,10978,4.572167061269283
42375,11126,4.637059755623341
42375,11452,4.744098521769047
42375,11592,4.818752408027649
42375,11947,4.9519008025527
42375,12333,5.121431313455105
42375,12596,5.216661840677261
42375,12935,5.5037569254636765
42375,13123,5.598219111561775
42375,13678,5.882115103304386
42375,13952,5.784070119261742
42375,14072,5.867203697562218
42375,14371,6.029951386153698
42375,14587,6.151645444333553
42375,14807,6.253497675061226
42375,14976,6.214139051735401
42375,15215,6.522323936223984
42375,15443,6.533394567668438
42375,15667,6.578385829925537
42375,15871,6.639312952756882
42375,16098,6.848715245723724
42375,16296,6.781579926609993
44410,435,0.2447934821248054
44410,502,0.2718335017561912
