bs,seq,nh,nkv,hd,t_measured_ms
1,33745,8,4,128,15.489807818084955
1,33745,16,1,64,17.02295010909438
1,33745,16,2,128,30.474127270281315
1,33745,16,8,128,30.73005611076951
1,33745,32,2,128,60.41156407445669
1,33745,64,1,64,67.08808103576303
1,33745,64,4,64,67.1009449288249
1,33745,64,8,64,67.04821111634374
1,33745,128,1,128,234.36991311609745
1,33745,128,8,64,132.91834201663733
1,33810,8,2,64,8.846824988722801
1,33810,8,4,64,8.896231651306152
1,33810,8,4,128,15.795015264302492
1,33810,16,1,128,31.00937558338046
1,33810,16,4,128,30.753671191632748
1,33810,32,1,128,60.0797007791698
1,33810,32,8,64,34.27533200010657
1,33810,64,1,128,119.60184993222356
1,33810,64,8,64,67.50842090696096
1,33810,128,1,128,235.8184177428484
1,33810,128,8,128,235.2067232131958
1,35617,32,1,128,66.9737490825355
1,35617,32,8,64,37.981914822012186
1,35617,64,1,128,132.3842708952725
1,35617,64,8,64,74.75279225036502
1,35617,128,1,128,260.76721400022507
1,35617,128,8,128,260.6795676983893
1,35839,32,2,64,38.08287205174565
1,35839,32,4,128,67.4421489238739
1,35839,64,2,64,75.36739995703101
1,35839,64,4,128,133.5733886808157
1,35839,128,2,64,149.4488180615008
1,35839,128,4,128,263.30768689513206
1,39933,8,4,64,12.030384037643673
1,39933,8,8,64,12.06740690395236
1,39933,16,1,64,23.89738103374839
1,39933,16,2,128,42.28729940950871
1,39933,16,8,128,42.300738859921694
1,39933,32,2,128,83.65859184414148
1,39933,64,1,64,93.0931121110916
1,39933,64,4,64,93.14091876149178
1,39933,64,8,64,93.1593831628561
1,39933,128,1,128,327.88687478750944
1,39933,128,8,64,185.0118567235768
1,40392,8,2,64,12.482915073633194
1,40392,8,4,64,12.488003820180891
1,40392,8,8,64,12.572512961924076
1,40392,16,1,64,24.41317494958639
1,40392,16,2,128,43.59667422249913
1,40392,16,8,128,43.35946403443813
1,40392,32,2,128,85.63790190964937
1,40392,64,1,64,95.4507482238114
1,40392,64,4,64,95.47084383666515
1,40392,64,8,64,95.52226681262256
1,40392,128,1,128,334.37286131083965
1,40392,128,8,64,189.66706795617935
1,46594,4,8,64,-1.0
1,46594,4,8,128,-1.0
1,46594,8,1,64,16.74468582496047
1,46594,8,2,64,16.642416827380657
1,46594,8,4,64,16.62660902366042
1,46594,8,8,64,16.612176783382893
1,46594,16,1,64,32.660242170095444
1,46594,16,2,128,57.51167796552181
1,46594,32,1,64,64.26198594272137
1,46594,32,4,64,64.18474018573761
1,46594,32,8,64,64.09831112250686
1,46594,64,1,128,223.97958394140005
1,46594,64,8,64,127.02897284179926
1,46594,128,1,128,445.2339000999928
1,46594,128,8,128,445.5954260192812
1,49328,32,1,128,126.96993490681052
1,49328,32,8,64,71.62897987291217
1,49328,64,1,128,250.5518039688468
1,49328,64,8,64,142.14026369154453
1,49328,128,1,128,497.575961984694
1,49328,128,8,128,497.301537077874
1,50639,32,2,64,75.30394988134503
1,50639,32,4,128,133.39238008484244
1,50639,64,2,64,150.0658672302961
1,50639,64,4,128,263.1858829408884
1,50639,128,2,64,295.0350451283157
1,50639,128,4,128,524.8088627122343
1,52118,8,4,128,36.39061376452446
1,52118,16,1,128,71.68804202228785
1,52118,16,4,128,71.48513477295637
1,52118,32,1,64,79.75829020142555
1,52118,32,4,64,79.96993279084563
1,52118,32,8,128,141.3897038437426
